name,description,city,pincode,house_id,ID
Zaanz appartment,"Sterling BrookSide, Opp. Kundalahalli Colony, ITPL Main Rd",bangalore,560037,1,2
stag saptgiri,"No.44,Ground floor,20th cross,Sector 2 HSR Layout,Bangalore.",bangalore,560102,2,3
sri sai enclave,"No.44,First floor,20th cross,Sector 2 HSR Layout.",bangalore,560102,3,4
orchids building,"D-208, Balaji Pristine Whitefield Main Road",bangalore,560066,4,5
Fella homes,"#11,Annaiya Reddy Rd, Narayana Reddy Layout,Phase 2, Electronic City",bangalore,560100,5,6
Juniper appartments,"# 595/1, 1st Floor,1st A main, Domlur Layout",bangalore,560038,6,7
UDB Building,Flat No: T1 Deccan Field Appartment Kunadanhalli main road,bangalore,560037,7,8
Apoorva society,"Flat No-202, Apoorva Apartment No-296 Vyalikaval House Building Cooperative Society Ltd Nagavara",Delhi,561202,8,9
Stag saptgiri,"Flat No-202, stag saptgiri No-26 phase2 Cooperative Society",Delhi,560045,9,10
VaK Residency,"302,#473 VAK Residency, B-Block, AECS Layout Kundalahalli,",Delhi,456738,10,11
Sunshine hills,"Flat no 3, water ville apartment R.galli",Delhi,100234,11,12
Sri Sai appartment,"2nd House, No-80/289, Sri Hari Darshan Nilaya, Ground Floor, Bellandur",Delhi,560107,12,13
Barvika Residency,"B105, 1st floor, B block, Barvika Residency",Delhi,5610023,13,14
Nestaway building,"#157, 4th Cross, 1st Main Road, Lower Palace Orchard",Delhi,546783,14,15
Windsor Plaza,"#301, Windsor Plaza,ITPL",Pune,560025,15,16
Indira society,"No. 502, Indira Meadows, Arunodaya Colony",Pune,302017,16,17
Sri Krishna Society,"Flat No-211 Sri Krishna sai enclave, Hoodi village, beside Vivekananda Ashram, Mahadevapura post",Pune,560048,17,18
uniworld,"D1-1201, Uniworld Garden 2",Pune,543678,18,19
Vinayaka residency,"49, House 1 lathangi 2nd main vinayaka housing layout, RMV 2nd stage bhoopasandra",Pune,560094,19,20
Sun city appartments,"Majeera Diamond Towers,malad-west",Pune,5600263,20,21
